HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456622.15528,2013-11-25.6579703,ba,1.87,15.603,>15.603,99.990,1.444,0.440,V
2456622.15664,2013-11-25.6593365,ba,1.76,15.379,14.926,0.144,4.109,0.542,V
2456625.15019,2013-11-28.6526371,ba,2.29,16.333,15.350,0.089,2.780,0.225,V
2456625.15156,2013-11-28.6540048,ba,2.33,16.588,15.494,0.080,2.434,0.178,V
2456640.06238,2013-12-13.5635015,ba,1.69,14.322,>14.322,99.990,0.513,1.433,V
2456640.06374,2013-12-13.5648693,ba,1.72,14.342,>14.342,99.990,3.734,1.407,V
2456653.12680,2013-12-26.6267120,ba,2.11,16.887,15.425,0.057,2.593,0.135,V
2456659.06215,2014-01-01.5614950,ba,2.33,16.632,15.266,0.062,3.004,0.171,V
2456659.06346,2014-01-01.5628075,ba,2.37,16.319,15.323,0.087,2.850,0.228,V
2456668.05542,2014-01-10.5539329,bd,2.50,16.932,15.697,0.070,2.019,0.130,V
2456668.05674,2014-01-10.5552597,bd,2.50,16.895,15.803,0.080,1.832,0.134,V
2456675.95701,2014-01-18.4548357,ba,1.68,16.129,15.755,0.155,1.913,0.271,V
2456675.95837,2014-01-18.4561945,ba,1.77,15.950,15.305,0.121,2.898,0.320,V
2456682.97553,2014-01-25.4727672,ba,1.73,17.054,15.448,0.050,2.538,0.116,V
2456682.97718,2014-01-25.4744137,ba,1.75,17.010,15.424,0.051,2.597,0.121,V
2456701.90081,2014-02-13.3966971,ba,2.43,15.807,15.577,0.177,2.255,0.365,V
2456701.90221,2014-02-13.3980990,ba,2.40,15.945,15.565,0.154,2.280,0.321,V
2456735.86990,2014-03-19.3641504,ba,1.65,16.079,15.705,0.155,2.004,0.284,V
2456735.87120,2014-03-19.3654545,ba,1.64,16.062,15.102,0.091,3.494,0.289,V
2456741.89155,2014-03-25.3857689,ba,1.81,17.109,15.493,0.049,2.434,0.110,V
2456741.89290,2014-03-25.3871266,ba,1.71,17.086,15.495,0.050,2.431,0.112,V
2456751.92380,2014-04-04.4180958,ba,1.65,17.154,15.580,0.051,2.249,0.106,V
2456751.92512,2014-04-04.4194210,ba,1.71,17.155,15.383,0.043,2.698,0.105,V
2456756.73967,2014-04-09.2340625,ba,1.85,15.372,15.091,0.169,3.529,0.545,V
2456758.82271,2014-04-11.3171539,ba,2.42,16.285,15.461,0.102,2.510,0.235,V
2456758.82404,2014-04-11.3184768,ba,2.40,16.251,15.321,0.093,2.854,0.243,V
2456764.99407,2014-04-17.4886981,ba,2.14,16.313,15.474,0.101,2.480,0.229,V
2456764.99541,2014-04-17.4900439,ba,2.05,16.224,15.427,0.105,2.588,0.249,V
2456778.77123,2014-05-01.2664896,ba,2.49,16.906,15.524,0.061,2.367,0.133,V
2456778.77257,2014-05-01.2678246,ba,2.41,17.008,15.422,0.051,2.599,0.121,V
2456781.76409,2014-05-04.2595111,ba,1.63,16.949,15.463,0.056,2.504,0.128,V
2456781.76543,2014-05-04.2608439,ba,1.63,17.083,15.540,0.053,2.333,0.113,V
2456783.87925,2014-05-06.3747905,ba,1.82,16.923,15.523,0.060,2.368,0.131,V
2456783.88057,2014-05-06.3761142,ba,1.81,16.975,15.462,0.054,2.507,0.124,V
2456794.86657,2014-05-17.3628366,ba,1.65,16.684,15.548,0.077,2.315,0.163,V
2456794.86797,2014-05-17.3642478,ba,1.66,16.663,15.623,0.084,2.161,0.166,V
2456796.84823,2014-05-19.3446479,ba,1.81,17.077,15.482,0.050,2.461,0.113,V
2456796.84959,2014-05-19.3460018,ba,1.77,17.088,15.511,0.051,2.395,0.112,V
2456798.84295,2014-05-21.3395148,ba,1.77,17.152,15.421,0.044,2.601,0.106,V
2456798.84428,2014-05-21.34085,ba,1.70,17.161,15.502,0.047,2.416,0.105,V
2456799.85003,2014-05-22.3466789,ba,2.01,17.143,15.549,0.050,2.314,0.107,V
2456799.85139,2014-05-22.3480355,ba,2.02,17.134,15.557,0.051,2.298,0.108,V
2456802.83382,2014-05-25.3306920,ba,2.06,17.141,15.509,0.049,2.401,0.107,V
2456802.83517,2014-05-25.3320394,ba,2.06,17.154,15.549,0.050,2.315,0.106,V
2456805.84334,2014-05-28.3404559,ba,2.13,17.166,15.522,0.048,2.370,0.104,V
2456805.84468,2014-05-28.3417956,ba,2.12,17.060,15.506,0.052,2.406,0.115,V
2456808.82182,2014-05-31.3191837,ba,2.19,16.741,15.429,0.065,2.585,0.154,V
2456808.82317,2014-05-31.3205343,ba,2.26,16.629,15.444,0.073,2.547,0.171,V
