HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456877.61094,2014-08-08.1064980,bf,1.51,16.331,>16.331,99.990,-0.144,0.225,V
2456877.61238,2014-08-08.1079300,bf,1.48,16.364,>16.364,99.990,0.333,0.218,V
2456879.70608,2014-08-10.2016627,be,1.45,16.247,>16.247,99.990,-1.122,0.243,V
2456879.70768,2014-08-10.2032599,be,1.43,15.977,>15.977,99.990,-0.035,0.312,V
2456881.68776,2014-08-12.1833656,be,1.60,16.354,>16.354,99.990,-0.413,0.220,V
2456881.68939,2014-08-12.1850025,be,1.60,16.224,>16.224,99.990,-0.349,0.248,V
2456881.71384,2014-08-12.2094677,bf,1.52,16.193,>16.193,99.990,0.310,0.256,V
2456881.71546,2014-08-12.2110700,bf,1.58,16.223,>16.223,99.990,-0.091,0.249,V
2456882.69941,2014-08-13.1950347,be,1.41,16.510,>16.510,99.990,-0.400,0.191,V
2456882.70085,2014-08-13.1964744,be,1.43,16.488,>16.488,99.990,-0.308,0.195,V
2456882.70818,2014-08-13.2038065,bf,1.46,16.541,>16.541,99.990,0.336,0.186,V
2456882.70962,2014-08-13.2052527,bf,1.49,16.486,>16.486,99.990,0.084,0.195,V
2456884.71745,2014-08-15.2131178,bf,1.48,16.917,>16.917,99.990,-0.075,0.131,V
2456884.71896,2014-08-15.2146207,bf,1.49,16.707,>16.707,99.990,-0.001,0.159,V
2456884.73027,2014-08-15.2259337,be,1.48,16.812,>16.812,99.990,0.596,0.145,V
2456884.73170,2014-08-15.2273622,be,1.50,16.745,>16.745,99.990,0.139,0.154,V
2456886.69244,2014-08-17.1881399,be,1.72,17.059,>17.059,99.990,0.339,0.115,V
2456886.69398,2014-08-17.1896862,be,1.66,17.147,>17.147,99.990,0.050,0.106,V
2456886.70171,2014-08-17.1974107,bf,1.54,17.128,>17.128,99.990,0.051,0.108,V
2456886.70323,2014-08-17.1989317,bf,1.54,17.126,>17.126,99.990,0.084,0.108,V
2456891.70902,2014-08-22.2048539,bf,1.46,17.273,>17.273,99.990,0.110,0.095,V
2456891.71051,2014-08-22.2063427,bf,1.49,17.202,>17.202,99.990,0.171,0.101,V
2456895.70506,2014-08-26.2009991,bf,1.52,17.289,>17.289,99.990,0.137,0.093,V
2456895.70653,2014-08-26.2024743,bf,1.57,17.270,>17.270,99.990,-0.086,0.095,V
2456898.69750,2014-08-29.1935414,bf,1.54,14.637,>14.637,99.990,-2.074,1.072,V
2456902.56808,2014-09-02.0642648,bf,1.84,15.638,>15.638,99.990,0.126,0.426,V
2456903.66836,2014-09-03.1645820,be,1.47,16.427,>16.427,99.990,0.223,0.206,V
2456903.66993,2014-09-03.1661547,be,1.44,16.327,>16.327,99.990,-0.422,0.226,V
2456907.65974,2014-09-07.1561347,be,1.47,16.192,>16.192,99.990,-0.304,0.256,V
2456907.66140,2014-09-07.1577915,be,1.47,16.187,>16.187,99.990,-0.244,0.257,V
2456908.63416,2014-09-08.1305959,be,1.54,14.251,>14.251,99.990,-1.313,1.530,V
2456908.63560,2014-09-08.1320329,be,1.74,14.421,>14.421,99.990,-1.855,1.308,V
2456909.63325,2014-09-09.1297384,be,1.53,15.932,>15.932,99.990,0.023,0.325,V
2456909.63474,2014-09-09.1312203,be,1.50,15.962,>15.962,99.990,-0.519,0.316,V
2456909.84861,2014-09-09.3451005,bf,1.45,15.798,>15.798,99.990,0.548,0.368,V
2456909.85008,2014-09-09.3465729,bf,1.43,15.717,>15.717,99.990,-0.243,0.396,V
2456910.64543,2014-09-10.1419590,be,1.82,16.133,>16.133,99.990,0.268,0.270,V
2456910.64691,2014-09-10.1434418,be,1.77,16.210,>16.210,99.990,0.139,0.252,V
2456910.66883,2014-09-10.1653535,bf,1.58,16.140,>16.140,99.990,0.252,0.268,V
2456910.67027,2014-09-10.1667942,bf,1.57,16.255,>16.255,99.990,-0.531,0.242,V
2456911.64386,2014-09-11.1404274,be,1.58,15.958,>15.958,99.990,0.381,0.317,V
