# MJD Lν eLν filter
5.719709738300000026e+04 2.158097993313339715e+45 9.372500499025810743e+43 1.928000000000000269e-01
5.719978981200000271e+04 2.099283831634359533e+45 9.117073840275567561e+43 1.928000000000000269e-01
5.720181958699999814e+04 1.811636912374110941e+45 7.867839142565180119e+43 1.928000000000000269e-01
5.720563737799999944e+04 1.714238169390509506e+45 7.444841776343594260e+43 1.928000000000000269e-01
5.720866380400000344e+04 1.452349571473819709e+45 6.307474046857429699e+43 1.928000000000000269e-01
5.721165857500000129e+04 1.300382633558621734e+45 7.059362526468397824e+43 1.928000000000000269e-01
5.721467308900000353e+04 1.132585926840597316e+45 6.148447728854311020e+43 1.928000000000000269e-01
5.721471246399999654e+04 1.061869534584742696e+45 8.070371389000951900e+43 1.928000000000000269e-01
5.721657856599999650e+04 9.864411047748837553e+44 6.426088927896280694e+43 1.928000000000000269e-01
5.721724868599999900e+04 9.864411047748837553e+44 4.284059285264186634e+43 1.928000000000000269e-01
5.721764336699999694e+04 1.042488231334149198e+45 7.923070510558970834e+43 1.928000000000000269e-01
5.721980333399999654e+04 8.055104165427599224e+44 6.996574580403636575e+43 1.928000000000000269e-01
5.722053854699999647e+04 7.981254526546152997e+44 6.065875899202635695e+43 1.928000000000000269e-01
5.722168490700000257e+04 7.981254526546152997e+44 5.199322199316543891e+43 1.928000000000000269e-01
5.722351332299999922e+04 6.761937634122040761e+44 3.670840251842273290e+43 1.928000000000000269e-01
5.722651908299999923e+04 5.273162572568034912e+44 2.862631759307383627e+43 1.928000000000000269e-01
5.722926717400000052e+04 4.809181423865070206e+44 3.132901432287353685e+43 1.928000000000000269e-01
5.723289631499999814e+04 3.855415250367896245e+44 2.511578353020631754e+43 1.928000000000000269e-01
5.724112440100000094e+04 3.006568900807450449e+44 1.958604424623900906e+43 1.928000000000000269e-01
5.724488391199999751e+04 2.410300333840920262e+44 1.831865235754184572e+43 1.928000000000000269e-01
5.724847212700000091e+04 2.158097993313608774e+44 1.405875074853871265e+43 1.928000000000000269e-01
5.725070543799999723e+04 2.280715745932649822e+44 2.723881223933123743e+43 1.928000000000000269e-01
5.725369794199999887e+04 2.239087992182691251e+44 2.917270678502321993e+43 1.928000000000000269e-01
5.725569504099999904e+04 1.862392272208575315e+44 1.415446702179025542e+43 1.928000000000000269e-01
5.725940358299999934e+04 1.520796698039992283e+44 1.651184035138636375e+43 1.928000000000000269e-01
5.726272911200000090e+04 1.652232501062877792e+44 1.255722051557428745e+43 1.928000000000000269e-01
5.726556179900000279e+04 1.374267135822473658e+44 3.133392327180605977e+43 1.928000000000000269e-01
5.726878624600000330e+04 1.932284903816280244e+44 1.678361342384732313e+43 1.928000000000000269e-01
5.727260614899999928e+04 1.950164115898995315e+44 1.482154650096167526e+43 1.928000000000000269e-01
5.727287666500000341e+04 2.080037481780297153e+44 2.032534801100516585e+43 1.928000000000000269e-01
5.727735826400000224e+04 2.716884404924509756e+44 1.769891857541571531e+43 1.928000000000000269e-01
5.728288087800000358e+04 2.844927222150708240e+44 1.853304290994598900e+43 1.928000000000000269e-01
5.728340953599999921e+04 2.793001448388044667e+44 1.819477675474076508e+43 1.928000000000000269e-01
5.728437207299999864e+04 2.924631551354605601e+44 1.905227016530177986e+43 1.928000000000000269e-01
5.728477255000000150e+04 2.871251009633712303e+44 1.870452704464591777e+43 1.928000000000000269e-01
5.729087327099999675e+04 3.206794727812736448e+44 2.089039882328267702e+43 1.928000000000000269e-01
5.729356727600000158e+04 3.648137182394499402e+44 2.376548771310011229e+43 1.928000000000000269e-01
5.729662740299999859e+04 3.855415250367896245e+44 2.092981960850526627e+43 1.928000000000000269e-01
5.729864492700000119e+04 3.750344481302741001e+44 2.035942391832616254e+43 1.928000000000000269e-01
5.729951571500000136e+04 3.855415250367896245e+44 2.092981960850526627e+43 1.928000000000000269e-01
5.730257331300000078e+04 3.715961116427040582e+44 2.017276759789138190e+43 1.928000000000000269e-01
5.730548972399999911e+04 4.508905787433993787e+44 2.447741128630273825e+43 1.928000000000000269e-01
5.730745222600000125e+04 4.765090583552853151e+44 3.104178819310656457e+43 1.928000000000000269e-01
5.730967833000000246e+04 4.635228636198931357e+44 3.522844883356978865e+43 1.928000000000000269e-01
5.731130859300000157e+04 5.129454252989010851e+44 3.341540515874427315e+43 1.928000000000000269e-01
5.731323872100000153e+04 4.809181423865070206e+44 3.132901432287353685e+43 1.928000000000000269e-01
5.731624103699999978e+04 4.809181423865070206e+44 2.610751193572795233e+43 1.928000000000000269e-01
5.731776894000000175e+04 4.305971598068611751e+44 2.805089556409986834e+43 1.928000000000000269e-01
5.731976388299999962e+04 4.112170951774402705e+44 2.678839729497699496e+43 1.928000000000000269e-01
5.732534162500000093e+04 3.785045991536568195e+44 2.465736881811530445e+43 1.928000000000000269e-01
5.732852987700000085e+04 4.635228636198931357e+44 2.516317773826413475e+43 1.928000000000000269e-01
5.733018644399999903e+04 4.809181423865070206e+44 2.610751193572795233e+43 1.928000000000000269e-01
5.733105913300000248e+04 4.898590781940523764e+44 3.191146418550352260e+43 1.928000000000000269e-01
5.733458383899999899e+04 4.592732604627584822e+44 2.991897640570362660e+43 1.928000000000000269e-01
5.734343778000000020e+04 4.508905787433993787e+44 2.937289354356328491e+43 1.928000000000000269e-01
5.734619374699999753e+04 4.467567890701429018e+44 2.425300103074725768e+43 1.928000000000000269e-01
5.734921930299999804e+04 4.853680231702767669e+44 3.161889812329799616e+43 1.928000000000000269e-01
5.735363153900000179e+04 4.592732604627584822e+44 5.485145674378999943e+43 1.928000000000000269e-01
5.735623171000000002e+04 5.129454252989010851e+44 2.784617096562023422e+43 1.928000000000000269e-01
5.735931978900000104e+04 4.721403970493517624e+44 3.075719536832478705e+43 1.928000000000000269e-01
5.736284050199999911e+04 4.943916884384002720e+44 3.220673732815175493e+43 1.928000000000000269e-01
5.736510073399999965e+04 4.721403970493517624e+44 3.075719536832478705e+43 1.928000000000000269e-01
5.736639260099999956e+04 4.989662384085140248e+44 9.751422779865280253e+43 1.928000000000000269e-01
5.736895557299999928e+04 4.508905787433993787e+44 2.937289354356328491e+43 1.928000000000000269e-01
5.737141838299999654e+04 4.227378759106344785e+44 2.753890901992350769e+43 1.928000000000000269e-01
5.737440705899999739e+04 3.891088968457875222e+44 2.534817701393806877e+43 1.928000000000000269e-01
5.737719794700000057e+04 4.150220401119000721e+44 2.703626728332423149e+43 1.928000000000000269e-01
5.738092357500000071e+04 3.820068590891246530e+44 2.488552064273998369e+43 1.928000000000000269e-01
5.738328536300000269e+04 3.820068590891246530e+44 2.903310741652998923e+43 1.928000000000000269e-01
5.738587197200000082e+04 4.074470341878162226e+44 5.308559958468424225e+43 1.928000000000000269e-01
5.739366404799999873e+04 3.681892980135322538e+44 2.398538706346634398e+43 1.928000000000000269e-01
5.739675713900000119e+04 3.236466834100510085e+44 2.108369530369107437e+43 1.928000000000000269e-01
5.739925112999999692e+04 3.614690859667551306e+44 2.354760441209608631e+43 1.928000000000000269e-01
5.742774664499999926e+04 2.198220030566108939e+44 1.670680951247102576e+43 1.928000000000000269e-01
5.742965007699999842e+04 1.986420373746883200e+44 1.941055665881549240e+43 1.928000000000000269e-01
5.743350684200000251e+04 1.795027725327626667e+44 1.754033930939551542e+43 1.928000000000000269e-01
5.743732189500000095e+04 1.811636912374563730e+44 1.770263807077165651e+43 1.928000000000000269e-01
5.744740972499999771e+04 1.932284903816280244e+44 1.468566174586640619e+43 1.928000000000000269e-01
5.744993359600000258e+04 2.023350685753811677e+44 1.977142585000591800e+43 1.928000000000000269e-01
5.745016586799999641e+04 1.795027725327626667e+44 2.533604566912685754e+43 1.928000000000000269e-01
5.745421822399999655e+04 1.778570812222807411e+44 1.544846978845099701e+43 1.928000000000000269e-01
5.745608111800000188e+04 2.060967583522237385e+44 1.566366985584076960e+43 1.928000000000000269e-01
5.745764415800000279e+04 1.778570812222807411e+44 1.931058723556374379e+43 1.928000000000000269e-01
5.746555880500000058e+04 1.795027725327626667e+44 1.364248612952984561e+43 1.928000000000000269e-01
