HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457097.15658,2015-03-15.6603425,bd,1.74,99.990,99.990,99.990,99.990,99.990,V
2457098.15306,2015-03-16.6567752,bd,1.58,15.574,>15.574,99.990,0.955,0.452,V
2457098.15465,2015-03-16.6583650,bd,1.74,15.424,>15.424,99.990,0.300,0.519,V
2457101.14869,2015-03-19.6526745,bd,1.50,15.856,>15.856,99.990,0.514,0.349,V
2457101.15031,2015-03-19.6542983,bd,1.57,15.656,>15.656,99.990,1.052,0.419,V
2457103.13751,2015-03-21.6413875,bd,1.51,16.813,16.351,0.143,1.105,0.144,V
2457103.13914,2015-03-21.6430153,bd,1.47,16.586,>16.586,99.990,0.713,0.178,V
2457115.12259,2015-04-02.6257453,bd,1.72,16.471,>16.471,99.990,0.420,0.198,V
2457115.12411,2015-04-02.6272559,bd,1.75,16.514,>16.514,99.990,0.706,0.190,V
2457117.11373,2015-04-04.6167559,bd,1.45,14.026,>14.026,99.990,2.523,1.883,V
2457117.11533,2015-04-04.6183571,bd,1.58,13.876,>13.876,99.990,2.567,2.160,V
2457119.10774,2015-04-06.6106349,bd,1.56,16.035,>16.035,99.990,0.726,0.296,V
2457119.10935,2015-04-06.6122480,bd,1.51,16.177,>16.177,99.990,0.711,0.259,V
2457125.12913,2015-04-12.6315877,bd,1.62,16.582,16.560,0.215,0.912,0.179,V
2457125.13069,2015-04-12.6331541,bd,1.64,16.581,16.529,0.209,0.938,0.179,V
2457131.10068,2015-04-18.6026829,bd,1.53,16.878,16.506,0.155,0.959,0.136,V
2457131.10225,2015-04-18.6042650,bd,1.55,16.986,16.704,0.169,0.799,0.123,V
2457136.05434,2015-04-23.5559567,bd,1.44,17.014,>17.014,99.990,0.572,0.120,V
2457136.05589,2015-04-23.5575032,bd,1.49,16.763,16.700,0.207,0.801,0.151,V
2457139.12495,2015-04-26.6263016,bd,1.70,16.859,16.548,0.165,0.922,0.138,V
2457139.12655,2015-04-26.6278991,bd,1.70,16.566,>16.566,99.990,0.660,0.181,V
2457149.03196,2015-05-06.5324857,bd,1.59,16.174,>16.174,99.990,0.693,0.260,V
2457149.03347,2015-05-06.5339925,bd,1.54,16.193,>16.193,99.990,-0.125,0.256,V
2457151.09497,2015-05-08.5953178,bd,1.58,16.618,>16.618,99.990,0.595,0.173,V
2457151.09672,2015-05-08.5970719,bd,1.77,16.572,>16.572,99.990,0.687,0.180,V
2457156.03558,2015-05-13.5355133,bd,1.59,16.907,>16.907,99.990,0.576,0.133,V
2457157.04847,2015-05-14.5483203,bd,1.59,16.946,>16.946,99.990,0.478,0.128,V
2457157.05007,2015-05-14.5499180,bd,1.56,17.006,16.897,0.198,0.668,0.121,V
2457161.03617,2015-05-18.5356733,bd,1.43,16.888,16.653,0.177,0.837,0.135,V
2457161.03773,2015-05-18.5372388,bd,1.42,16.848,>16.848,99.990,0.653,0.140,V
2457164.04809,2015-05-21.5473476,bd,1.50,17.015,16.897,0.197,0.669,0.120,V
2457164.04958,2015-05-21.5488484,bd,1.52,17.089,16.622,0.142,0.862,0.112,V
2457168.98020,2015-05-26.4790594,bd,1.50,17.039,>17.039,99.990,0.536,0.117,V
2457168.98177,2015-05-26.4806315,bd,1.46,16.847,16.512,0.161,0.953,0.140,V
2457172.03875,2015-05-29.5373453,bd,1.42,16.882,16.873,0.217,0.684,0.136,V
2457172.04027,2015-05-29.5388652,bd,1.46,16.927,16.817,0.198,0.719,0.130,V
2457178.06024,2015-06-04.5583681,bd,1.49,16.415,>16.415,99.990,0.619,0.208,V
2457178.06182,2015-06-04.5599462,bd,1.50,16.296,>16.296,99.990,0.759,0.233,V
2457185.09479,2015-06-11.5923708,bd,1.51,17.161,16.895,0.172,0.670,0.105,V
2457185.09632,2015-06-11.5939034,bd,1.55,16.837,16.743,0.201,0.771,0.141,V
2457185.11930,2015-06-11.6168771,bd,1.50,16.580,>16.580,99.990,0.653,0.179,V
2457185.12085,2015-06-11.6184317,bd,1.58,16.622,>16.622,99.990,0.428,0.172,V
2457189.01267,2015-06-15.5099707,bd,1.52,17.074,16.992,0.203,0.613,0.114,V
2457189.01421,2015-06-15.5115119,bd,1.58,16.991,16.675,0.164,0.820,0.123,V
2457192.00473,2015-06-18.5017975,bd,1.47,16.956,16.831,0.195,0.711,0.127,V
2457192.00609,2015-06-18.5031521,bd,1.46,16.999,16.517,0.141,0.948,0.122,V
2457194.05549,2015-06-20.5524203,bd,1.48,17.124,16.670,0.144,0.825,0.108,V
2457194.05702,2015-06-20.5539552,bd,1.55,17.002,16.383,0.124,1.073,0.121,V
2457196.95896,2015-06-23.4557106,bd,1.48,17.055,16.861,0.183,0.692,0.116,V
2457196.96045,2015-06-23.4571980,bd,1.47,17.056,16.774,0.169,0.749,0.115,V
