mjd filter flux_Jy e_flux_Jy
58228.45743060019 r.ztf 1.5456815903660314e-05 1.1887205945695727e-05
58228.48324069986 g.ztf 4.221880112608646e-06 5.201789898896634e-06
58231.48298610002 g.ztf -2.38239453285062e-06 4.0173562149454315e-06
58234.501307900064 g.ztf 4.98395025156805e-06 6.0774843504394975e-06
58237.40170140006 g.ztf -1.2809306530787402e-05 2.402593405311138e-05
58252.45989579987 g.ztf 5.3471641650582045e-06 3.1829041822662485e-06
58252.48498839978 r.ztf 2.7165451075476174e-06 7.678185375748363e-06
58255.4222569 g.ztf 2.40727682458397e-09 4.607527448438868e-06
58255.4620254999 r.ztf -2.4455882847078847e-06 6.430818474721406e-06
58261.46222219989 g.ztf -2.7241288118185957e-07 3.4668969614963555e-06
58261.46312499978 g.ztf -2.6282237850038844e-06 3.474988414628987e-06
58261.48598380014 r.ztf -2.79736261928983e-06 7.027129973467002e-06
58262.48400459997 r.ztf -1.7226414647408017e-07 1.184023086436767e-05
58266.3776273001 r.ztf -1.3577645075428205e-06 1.6050127614705757e-05
58266.46087960014 g.ztf 1.5040132182565635e-06 1.0237930910503058e-05
58266.46179400012 g.ztf -4.361569223068429e-06 1.076265028663588e-05
58267.46186339995 g.ztf 8.243547230339089e-06 1.3513463424143108e-05
58268.43943289993 r.ztf -5.363691583944849e-06 1.2817292644463397e-05
58269.420497700106 r.ztf -5.947945749165679e-07 1.1554822145692252e-05
58271.45667820005 r.ztf 1.2780597542021595e-05 1.3404732057276439e-05
58271.47915509995 g.ztf 6.063825517442966e-06 1.0076916419834285e-05
58272.398587999865 g.ztf -4.576898267717833e-06 8.375893357772109e-06
58273.40040510008 r.ztf -5.227261121668626e-06 9.886923680881575e-06
58273.45446760021 g.ztf 7.306337193464002e-06 6.199717327511872e-06
58274.44030090002 g.ztf 9.048754130419062e-06 6.18687903050915e-06
58275.40199070005 r.ztf -2.6810297866833143e-06 7.631087977539948e-06
58275.45692129992 g.ztf 2.9048263718285395e-07 4.396934220011278e-06
58276.41468749987 g.ztf -5.1694415680825e-07 4.567883085490627e-06
58276.44439810002 r.ztf 3.5714707743935553e-06 7.1154469068951395e-06
58277.397916700225 r.ztf -2.0783794617596223e-06 6.388291099544928e-06
58278.42189810006 g.ztf 4.679199974112942e-06 2.961916463876678e-06
58278.46063659992 r.ztf 1.1109060254566447e-05 6.159126184861255e-06
58279.41956020007 r.ztf 9.221120492383932e-06 7.406715956625115e-06
58279.44563659979 g.ztf -1.815186263692153e-06 3.7929025145208687e-06
58280.42031250009 g.ztf 9.176979978417334e-07 3.074574211958793e-06
58281.418182900175 g.ztf 0.0 3.67109831625154e-06
58281.440196800046 r.ztf -4.042861383090684e-06 5.8518207872924175e-06
58283.38312500017 r.ztf 1.7226414647408017e-07 6.0072708168876745e-06
58283.42106480012 g.ztf 8.216097599449438e-06 3.058076605150248e-06
58287.4193171002 g.ztf -8.672335562172013e-07 3.938676487582179e-06
58287.441076400224 r.ztf -4.952301663470075e-06 5.842788635934044e-06
58290.463356500026 r.ztf 1.3430369842131152e-05 5.719111658401214e-06
58293.46156249987 r.ztf -1.1979858129412637e-06 5.762720256101837e-06
58296.346238399856 r.ztf 1.2977123700260438e-05 1.3392511270767174e-05
58296.4440394002 g.ztf 8.768469215238154e-06 9.201057117822108e-06
58300.443368100096 g.ztf -4.0759956805466895e-06 1.1553882982702398e-05
58313.37271990022 g.ztf 3.0168571662834865e-07 3.490318279508918e-06
58316.35446760012 r.ztf -6.60574352853667e-06 5.5845928316766e-06
58316.37643520022 g.ztf -2.5354968733660606e-06 3.3749509762006218e-06
58319.378842600156 g.ztf -3.5509676090363768e-06 4.31272642901976e-06
58326.3343055998 r.ztf -1.0476649735566537e-05 2.066690223544374e-05
58326.44334489992 g.ztf -4.8414992005736e-06 1.4554078376694649e-05
58329.35656249989 r.ztf -4.711418109957417e-06 1.701479030207864e-05
58329.41846060008 g.ztf 1.303778398610956e-05 1.1770228076406305e-05
58338.32442130009 r.ztf 1.1269427658896269e-05 6.1039136775500645e-06
58341.31135419989 g.ztf -1.5594523162504235e-06 6.450021714285951e-06
58347.415428199805 r.ztf -1.0560566499648497e-05 7.470881849540674e-06
58350.33739579981 g.ztf 1.0310602574138074e-05 4.017806906782887e-06
58350.36425929982 r.ztf -8.950784136867687e-06 5.361375684756019e-06
58353.292685199995 r.ztf 8.013699019043875e-06 9.429357780470942e-06
58356.291284699924 r.ztf -5.433340261625323e-07 1.2935266345194098e-05
58359.33976850007 r.ztf -1.2189441799970788e-05 1.1817006487950682e-05
58362.24975690013 g.ztf 4.198809786432447e-06 5.518889174649258e-06
58362.32936340012 r.ztf 2.0945154520443826e-06 7.1841007748191495e-06
58365.2060647998 r.ztf 2.0063034821854603e-06 5.054760412035838e-06
58365.276979200076 g.ztf 1.0466787400998417e-06 3.2895602726852493e-06
58368.25206020009 g.ztf -5.4356331215242485e-06 3.5616677574758313e-06
58368.27636570018 r.ztf 1.3161366063123998e-05 6.223946383185418e-06
58371.25258099986 g.ztf 6.637189426498062e-06 2.8306210380349845e-06
58371.29581019981 r.ztf 8.995359078077035e-06 5.599201672993552e-06
58374.168263900094 r.ztf 1.0432731991400368e-05 6.565315737686946e-06
58374.26850689994 g.ztf -4.2393366661710185e-07 3.7979508412052964e-06
58380.16886569979 g.ztf -5.348405589760403e-06 6.196179727888776e-06
58380.24653939996 r.ztf -1.2414928524861535e-05 1.0513772869652421e-05
58386.22943289997 r.ztf -8.505164769909286e-06 1.2532259045858818e-05
58389.14693289995 g.ztf -5.827567260547147e-06 4.25978977653276e-06
58400.14505789988 g.ztf -1.1537133357231663e-06 3.029623632773272e-06
58400.14844910009 r.ztf 1.6576177850447367e-05 6.278272302521091e-06
58423.123182899784 r.ztf -8.451425867370794e-07 1.0071471356598024e-05
58430.08584489999 r.ztf -4.45351015640365e-06 6.311270485595031e-06
58433.088784699794 r.ztf 2.1051807972982952e-06 8.64550461888608e-06
58436.14751160005 g.ztf -4.867029866889665e-06 1.0936480117181899e-05
58456.14517359994 r.ztf -2.369035089325738e-06 1.2251548135276277e-05
58469.122233800124 g.ztf -7.797283777243352e-06 8.775999466651807e-06
58472.14410880022 g.ztf 8.908395569937583e-06 1.7635860135667616e-05
